distribution,minute,cpfa_mean_collected,cpfa_std_collected,ahcfa_mean_collected,ahcfa_std_collected,absolute_gain,improvement_percent
Random,1,7.98,1.5970636320754283,7.98,1.5970636320754283,0.0,0.0
Random,2,14.06,2.6833576286558056,14.06,2.6833576286558056,0.0,0.0
Random,3,20.0,3.6533462435841204,20.0,3.6533462435841204,0.0,0.0
Random,4,25.54,5.011049016413425,25.54,5.011049016413425,0.0,0.0
Random,5,30.36,5.554038795217,30.36,5.554038795217,0.0,0.0
Random,6,35.12,5.7592516520670225,35.12,5.7592516520670225,0.0,0.0
Random,7,40.08,6.167194314620362,40.08,6.167194314620362,0.0,0.0
Random,8,45.3,6.8727500956713845,45.3,6.8727500956713845,0.0,0.0
Random,9,50.74,8.002066059742933,50.74,8.002066059742933,0.0,0.0
Random,10,56.68,8.779475136559666,56.68,8.779475136559666,0.0,0.0
Random,11,62.28,10.065175363700368,62.28,10.065175363700368,0.0,0.0
Random,12,68.24,11.332741080963743,68.24,11.332741080963743,0.0,0.0
Powerlaw,1,7.6,1.714285714285714,7.76,1.8020396607110263,0.16000000000000014,2.105263157894739
Powerlaw,2,16.28,3.838792327101356,16.92,3.911469268284578,0.6400000000000006,3.9312039312039344
Powerlaw,3,22.68,5.737239612160794,24.16,5.912145920708918,1.4800000000000004,6.525573192239862
Powerlaw,4,28.52,6.734740878005445,31.26,7.50730256728305,2.740000000000002,9.607293127629742
Powerlaw,5,34.38,7.63955870079268,38.12,9.233125811170233,3.739999999999995,10.878417684700391
Powerlaw,6,40.66,8.86085175801689,45.3,10.635424058210335,4.640000000000001,11.411706837186426
Powerlaw,7,47.5,10.23648935356816,52.8,11.775103448568501,5.299999999999997,11.1578947368421
Powerlaw,8,54.08,11.84911948851311,60.2,13.164578324009453,6.1200000000000045,11.316568047337286
Powerlaw,9,60.48,13.515282355276826,67.98,14.565110675157669,7.500000000000007,12.400793650793663
Powerlaw,10,67.34,14.91282149353231,75.5,16.359793921161025,8.159999999999997,12.117612117612111
Powerlaw,11,74.12,16.247624630155908,83.78,17.838607523216236,9.659999999999997,13.032919589854284
Powerlaw,12,81.24,17.405793077394126,91.98,19.271942172548172,10.740000000000009,13.220088626292478
Clustered,1,4.86,2.6186926166329956,4.96,2.672306960249125,0.09999999999999964,2.0576131687242722
Clustered,2,11.06,3.6444534317681345,11.4,3.703280399090206,0.33999999999999986,3.0741410488245915
Clustered,3,18.02,4.537777933243161,18.76,4.433453530159263,0.740000000000002,4.106548279689245
Clustered,4,24.38,5.645623191861976,25.56,5.288261934295075,1.1799999999999997,4.840032813781788
Clustered,5,30.44,6.58433515153619,32.04,6.565090110825997,1.5999999999999979,5.2562417871222
Clustered,6,36.68,7.739218966025036,38.68,7.608909922195271,2.0,5.452562704471101
Clustered,7,42.26,8.884313164683201,44.8,9.066646658641389,2.539999999999999,6.010411736867012
Clustered,8,48.04,10.065013154284419,50.46,10.70992292127221,2.4200000000000017,5.0374687760199865
Clustered,9,54.38,11.371087575648216,57.16,12.236379349784672,2.779999999999994,5.112173593232796
Clustered,10,59.8,12.538919004280967,62.68,13.414034685008543,2.8800000000000026,4.8160535117056895
Clustered,11,64.98,14.199008301099548,68.82,14.30525806000246,3.839999999999989,5.9095106186518755
Clustered,12,70.08,15.4415818159796,74.4,15.331706509381005,4.320000000000007,6.164383561643846
